player_id,install_date,country,device_type,acquisition_channel,campaign_name,sessions_day_1,sessions_day_7,total_playtime_minutes,levels_completed,in_app_purchases_gbp,ad_views,retained_day_1,retained_day_7,retained_day_30,churned,basic_player_segment
P00001,2026-02-21,India,Android,Facebook Ads,FB_Retargeting,6,8,172.9,12,0.0,13,1,1,0,1,Churned
P00002,2026-01-15,United States,Android,Google Ads,GAds_Display,2,2,88.9,5,0.0,5,1,1,0,1,Churned
P00003,2026-03-13,India,iOS,Google Ads,GAds_AppInstall,5,3,103.8,10,0.0,6,1,1,0,1,Churned
P00004,2026-03-02,Japan,iOS,Google Ads,GAds_Display,4,4,109.8,10,0.0,5,1,1,0,1,Churned
P00005,2026-01-21,Canada,Android,Google Ads,GAds_AppInstall,1,0,39.6,6,0.0,0,1,0,0,1,At-Risk Early Drop-off
P00006,2026-03-24,Japan,iOS,Facebook Ads,FB_Retargeting,6,6,134.1,12,0.0,17,1,1,0,1,Churned
P00007,2026-03-28,United States,iOS,Organic,Organic,18,17,412.3,26,0.0,54,1,1,1,0,Loyal/Engaged
P00008,2026-03-16,South Korea,iOS,TikTok Ads,TT_Retention_Test,3,11,165.5,14,0.0,27,1,1,0,1,Churned
P00009,2026-03-16,United Kingdom,Android,Organic,Organic,3,5,127.0,10,0.0,11,1,1,1,0,Loyal/Engaged
P00010,2026-03-29,France,Android,Facebook Ads,FB_Interest_Gaming,3,8,165.3,11,9.99,17,1,1,0,1,Churned
P00011,2026-01-24,Nigeria,Android,Organic,Organic,2,6,99.3,8,0.0,12,1,1,1,0,Loyal/Engaged
P00012,2026-01-03,Canada,iOS,Influencer Campaign,Creator_C,9,5,168.8,11,0.0,14,1,1,0,1,Churned
P00013,2026-01-22,France,iOS,Google Ads,GAds_Search,8,9,184.3,11,0.0,21,1,1,0,1,Churned
P00014,2026-02-22,Brazil,Android,Influencer Campaign,Creator_B,10,12,293.8,22,9.99,20,1,1,1,0,High-Value Retained
P00015,2026-01-02,United Kingdom,Android,App Store Search,Store_Search_Generic,6,4,102.5,8,0.0,8,1,1,0,1,Churned
P00016,2026-03-29,United Kingdom,iOS,Influencer Campaign,Creator_B,1,0,26.7,4,0.0,0,1,0,0,1,At-Risk Early Drop-off
P00017,2026-01-30,Brazil,Android,Influencer Campaign,Creator_B,7,14,228.4,15,1.99,31,1,1,1,0,High-Value Retained
P00018,2026-02-07,France,iOS,TikTok Ads,TT_Retention_Test,0,1,13.1,9,0.0,2,0,0,1,0,New/Casual
P00019,2026-01-02,South Korea,PC,Google Ads,GAds_Search,1,6,154.8,8,0.0,12,1,1,0,1,Churned
P00020,2026-03-05,Brazil,iOS,Organic,Organic,1,2,80.6,5,1.99,10,1,1,0,1,Churned
P00021,2026-03-01,South Korea,PC,Organic,Organic,4,4,118.5,6,0.0,7,1,1,0,1,Churned
P00022,2026-01-21,Brazil,Android,Google Ads,GAds_AppInstall,1,2,50.6,4,0.0,3,1,1,0,1,Churned
P00023,2026-02-02,United States,Android,Google Ads,GAds_Display,8,14,289.7,19,4.99,30,1,1,0,1,Churned
P00024,2026-03-17,United Kingdom,iOS,TikTok Ads,TT_Gameplay_Clips,5,3,90.4,6,0.0,7,1,1,1,0,New/Casual
P00025,2026-02-27,India,Android,Google Ads,GAds_AppInstall,3,4,126.8,8,0.0,10,1,1,0,1,Churned
P00026,2026-01-22,France,iOS,Influencer Campaign,Creator_A,7,7,153.2,11,0.0,17,1,1,0,1,Churned
P00027,2026-03-30,United Kingdom,iOS,Google Ads,GAds_Search,2,0,34.9,3,0.0,0,1,0,0,1,At-Risk Early Drop-off
P00028,2026-02-18,United States,Android,Facebook Ads,FB_Lookalike,2,3,106.0,9,0.0,4,1,1,1,0,New/Casual
P00029,2026-02-28,South Korea,PC,Influencer Campaign,Creator_B,3,4,128.6,11,0.0,8,1,1,0,1,Churned
P00030,2026-02-11,Nigeria,Android,App Store Search,Store_Search_Generic,5,8,185.9,14,1.99,16,1,1,0,1,Churned
P00031,2026-03-01,Canada,Android,Google Ads,GAds_AppInstall,2,3,60.8,7,0.0,9,1,1,0,1,Churned
P00032,2026-03-21,Nigeria,iOS,Influencer Campaign,Creator_B,4,7,139.8,12,0.0,19,1,1,1,0,Loyal/Engaged
P00033,2026-01-15,United States,iOS,App Store Search,Store_Search_Generic,3,4,110.9,9,0.0,15,1,1,0,1,Churned
P00034,2026-03-03,United States,iOS,App Store Search,Store_Search_Brand,5,6,125.8,9,0.0,9,1,1,1,0,Loyal/Engaged
P00035,2026-03-03,United States,Android,Organic,Organic,2,3,121.3,7,0.0,10,1,1,0,1,Churned
P00036,2026-02-16,United Kingdom,PC,TikTok Ads,TT_Gameplay_Clips,4,8,103.0,7,0.0,16,1,1,1,0,Loyal/Engaged
P00037,2026-03-03,Brazil,Android,TikTok Ads,TT_Retention_Test,2,0,31.5,3,0.0,0,1,0,0,1,At-Risk Early Drop-off
P00038,2026-02-20,Canada,iOS,Organic,Organic,7,4,126.3,10,0.0,4,1,1,0,1,Churned
P00039,2026-02-24,India,iOS,Google Ads,GAds_Search,1,0,0.0,3,0.0,0,1,0,0,1,At-Risk Early Drop-off
P00040,2026-03-05,India,Android,Facebook Ads,FB_Lookalike,4,4,80.1,8,0.0,8,1,1,1,0,New/Casual
P00041,2026-01-03,United States,iOS,Influencer Campaign,Creator_C,5,7,174.6,9,0.0,9,1,1,1,0,Loyal/Engaged
P00042,2026-02-20,France,Android,Organic,Organic,2,7,135.8,12,0.0,15,1,1,1,0,Loyal/Engaged
P00043,2026-01-07,Nigeria,Android,Influencer Campaign,Creator_B,4,1,118.3,8,0.0,3,1,1,0,1,Churned
P00044,2026-01-21,Japan,Android,Facebook Ads,FB_Retargeting,2,0,89.6,5,0.0,0,1,0,0,1,At-Risk Early Drop-off
P00045,2026-03-14,United States,iOS,Facebook Ads,FB_Retargeting,7,11,233.8,14,0.0,24,1,1,0,1,Churned
P00046,2026-02-08,France,iOS,App Store Search,Store_Search_Generic,7,3,134.8,14,0.0,5,1,1,0,1,Churned
P00047,2026-01-18,Germany,iOS,Google Ads,GAds_AppInstall,2,11,184.6,11,0.0,26,1,1,1,0,Loyal/Engaged
P00048,2026-01-04,United States,iOS,TikTok Ads,TT_Gameplay_Clips,4,3,36.6,3,9.99,2,1,1,0,1,Churned
P00049,2026-03-30,United Kingdom,iOS,Influencer Campaign,Creator_C,7,6,128.1,9,0.0,11,1,1,1,0,Loyal/Engaged
P00050,2026-03-01,France,Android,TikTok Ads,TT_Retention_Test,1,1,57.5,5,0.0,1,1,0,0,1,At-Risk Early Drop-off
P00051,2026-01-14,Brazil,Android,Organic,Organic,6,1,110.4,7,0.0,2,1,1,0,1,Churned
P00052,2026-01-09,United States,iOS,Influencer Campaign,Creator_A,7,7,182.2,12,0.0,10,1,1,0,1,Churned
P00053,2026-03-31,France,iOS,TikTok Ads,TT_Retention_Test,5,2,76.7,8,0.0,5,1,1,1,0,New/Casual
P00054,2026-02-22,Canada,iOS,Facebook Ads,FB_Retargeting,2,10,194.4,13,49.99,21,1,1,0,1,Churned
P00055,2026-01-02,Brazil,iOS,TikTok Ads,TT_Gameplay_Clips,8,8,232.1,13,4.99,17,1,1,1,0,High-Value Retained
P00056,2026-03-25,United States,Android,Influencer Campaign,Creator_A,4,5,150.4,10,0.0,13,1,1,0,1,Churned
P00057,2026-03-01,Japan,iOS,Organic,Organic,5,6,171.7,10,0.0,9,1,1,1,0,Loyal/Engaged
P00058,2026-03-12,United States,iOS,App Store Search,Store_Search_Brand,5,5,121.0,9,0.0,16,1,1,1,0,Loyal/Engaged
P00059,2026-02-13,United States,iOS,Facebook Ads,FB_Interest_Gaming,3,0,85.9,9,1.99,1,1,0,1,0,High-Value Retained
P00060,2026-01-08,United Kingdom,Android,Organic,Organic,1,1,58.6,5,0.0,2,1,0,0,1,At-Risk Early Drop-off
P00061,2026-02-16,United Kingdom,Android,Google Ads,GAds_Search,2,0,63.8,5,0.0,0,1,0,1,0,At-Risk Early Drop-off
P00062,2026-02-04,Nigeria,iOS,App Store Search,Store_Search_Brand,11,9,240.1,19,4.99,16,1,1,1,0,High-Value Retained
P00063,2026-03-19,United States,Android,Google Ads,GAds_AppInstall,0,0,32.0,6,0.0,0,0,0,0,1,Churned
P00064,2026-03-22,India,Android,Organic,Organic,1,2,45.5,6,0.0,4,1,1,0,1,Churned
P00065,2026-02-05,United Kingdom,PC,Google Ads,GAds_Search,4,4,112.9,12,4.99,7,1,1,1,0,High-Value Retained
P00066,2026-02-19,United States,iOS,Google Ads,GAds_AppInstall,7,7,199.7,14,4.99,16,1,1,0,1,Churned
P00067,2026-01-04,United States,Android,Facebook Ads,FB_Retargeting,3,5,108.0,4,0.0,7,1,1,1,0,Loyal/Engaged
